Tiki,3.8,1.50,1.8
Nimrud,3.8,1.47,1.8
Jericho,4.8,1.68,2.0
Pegasus,4.1,1.58,1.9
Harmonia,5.5,1.58,1.9
Marcus Aurelius,7.5,2.00,2.4
Cyclops,5.3,1.89,2.3
Minerva,4.6,1.68,2.0
Mammon,7,1.89,2.3
Colossus,5.6,1.58,1.9
Icarus,4.5,1.68,2.0
Nero,5,1.52,1.8
Sparta,4.3,1.60,1.9
Neptune,3.8,1.14,1.4
Troy,6,1.53,1.8
Medusa,4.6,1.89,2.3
Amphion,5.5,1.56,1.9
Pegasus,4.1,1.54,1.9
Medea,5.6,1.59,1.9
Augustus,5.8,1.64,2.0
Domus Sanctus Peri,6,1.87,2.2
Phoebe,4.7,1.55,1.9
Justinian,3.9,1.51,1.8
Proteus,6.2,1.88,2.3
Orion,6.4,1.79,2.1
Minotaur,3.3,1.37,1.6
Nike,4.7,1.58,1.9
Dionysus,3.6,1.47,1.8
Saturnalia,5.3,1.79,2.1
Orpheus,4.2,1.58,1.9
Abeona,5.7,1.83,2.2
Promethieus,6,1.89,2.3
Medusa,4.6,1.68,2.0
Saturnalia,5.3,1.79,2.1
Lanterne Rouge,6,1.89,2.3
Jupiter,3.5,1.47,1.8
Pantheon,3.7,1.48,1.8
